Ensembl ID;genes;Phase
ENSG00000175182;FAM131A;G2M
ENSG00000150756;FAM173B;G1
ENSG00000165660;FAM175B;G2M
ENSG00000168754;FAM178B;G2M
ENSG00000164970;FAM219A;G2M
ENSG00000111913;FAM65B;G2M
ENSG00000153347;FAM81B;G2M
ENSG00000105523;FAM83E;G2M
ENSG00000188343;FAM92A1;G2M
ENSG00000149806;FAU;G1
ENSG00000127585;FBXL16;G2M
ENSG00000153558;FBXL2;G2M
ENSG00000165355;FBXO33;G2M
ENSG00000112029;FBXO5;G2M
ENSG00000163518;FCRL4;G1
ENSG00000126266;FFAR1;G2M
ENSG00000070388;FGF22;G2M
ENSG00000137440;FGFBP1;G1
ENSG00000160867;FGFR4;G1
ENSG00000000938;FGR;G2M
ENSG00000115641;FHL2;G1
ENSG00000130720;FIBCD1;G2M
ENSG00000096060;FKBP5;S+G2M
ENSG00000077800;FKBP6;G1
ENSG00000161791;FMNL3;G1
ENSG00000141560;FN3KRP;G2M
ENSG00000125798;FOXA2;G2M
ENSG00000171051;FPR1;G1
ENSG00000153303;FRMD1;S
ENSG00000126391;FRMD8;G2M
ENSG00000053108;FSTL4;G2M
ENSG00000089280;FUS;G2M
ENSG00000266964;FXYD1;S+G2M
ENSG00000105325;FZR1;G2M
ENSG00000151834;GABRA2;G2M
ENSG00000144644;GADL1;G2M
ENSG00000178950;GAK;G2M
ENSG00000175229;GAL3ST3;G2M
ENSG00000158089;GALNT14;G2M
ENSG00000128310;GALR3;G1
ENSG00000132139;GAS2L2;G2M
ENSG00000146729;GBAS;S+G2M
ENSG00000131979;GCH1;G2M
ENSG00000158555;GDPD5;S+G2M
ENSG00000141098;GFOD2;G2M
ENSG00000125861;GFRA4;G2M
ENSG00000171115;GIMAP8;G2M
ENSG00000131153;GINS2;S
ENSG00000147536;GINS4;G2M
ENSG00000139436;GIT2;G1
ENSG00000121743;GJA3;G1
ENSG00000121634;GJA8;G2M
ENSG00000183607;GKN2;G2M
ENSG00000174332;GLIS1;S
ENSG00000168237;GLYCTK;G2M
ENSG00000144591;GMPPA;G2M
ENSG00000127955;GNAI1;G1
ENSG00000125787;GNRH2;G2M
ENSG00000116580;GON4L;S
